pr_number,complexity_score,complexity_rationale,quality_score,quality_rationale,model_used,analyzed_at
58495,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:43:33.632755
58500,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:43:37.979274
58493,4,"This is an architectural change, adding conversation ID support to MCP calls across multiple files.",4,"The PR was approved and shipped cleanly with only a minor dependency bump, but it required a second pass after the SDK had already shipped to 0.0.4.",deepseek/deepseek-v4-flash:free,2026-05-15T00:43:41.426745
58491,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:43:45.191832
58492,4,"This PR adds a new notification API scope, serializer help_text, MCP tool registration, and OpenAPI annotations across seven files.",3,"Review comments correctly identify misadvertisement of write scope, project-scoped token cross-project access, and feature flag silent-200 for MCP agents — quality is decent but flawed.",deepseek/deepseek-v4-flash:free,2026-05-15T00:44:07.849100
58489,3,The PR is straightforward but has flagged backend issues and a placeholder approach.,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:44:09.538869
58487,3,"The PR description is entirely boilerplate (no problem, no changes, no testing), and the code has explicit review concerns about duplicated logic and poor test design.",2,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:44:11.769936
58482,3,This is a multi-file chore touching 9 files with 33 additions and 11 deletions.,5,"The PR was approved, deployed cleanly without issues, and the author proactively addressed the schema generation concern.",deepseek/deepseek-v4-flash:free,2026-05-15T00:44:19.421196
58479,3,The PR introduces a multi-file feature to expose uptime monitor data via HogQL and SQL insights.,2,The PR received extensive security and architectural feedback requiring rework.,deepseek/deepseek-v4-flash:free,2026-05-15T00:44:23.331542
58475,2,Single-file UI fix replacing a suspense fallback component.,4,"Clean, approved change with no rework cycles and a positive size impact.",deepseek/deepseek-v4-flash:free,2026-05-15T00:44:29.594889
58471,4,"This is an architectural, multi-file feature involving new session identifiers, plumbing through interfaces, with forward-looking scaffolding for a future integration.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:44:34.312480
58470,5,0,2,"The PR introduced a major new CLI feature with 8 files and 520 changes, but contained serious security flaws (command injection, race conditions, unhandled promise rejections, Node18 compatibility bugs) requiring multiple bot reviews and several revision cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T00:44:48.365023
58476,4,"The PR introduces a minimal definition detail page with new scene logic, route registration, and manifest changes across 23 files, indicating moderate complexity.",3,"The PR has no revert but received multiple P1/P2 bug reports from Greptile and requires fixes, though the overall quality is acceptable.",deepseek/deepseek-v4-flash:free,2026-05-15T00:44:57.903536
58469,3,"The description is just a template, no problem is defined; it is a 'ch: format cli' change to the package.",3,Both new definitions are good.,deepseek/deepseek-v4-flash:free,2026-05-15T00:45:02.819159
58466,2,"The PR received 3 review comments pointing out existing issues and a security issue, but no rework was done to address them.",2,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:45:40.371990
58461,5,"This is a major, multi-file, architectural feature involving code generation and core logic.",3,"Multiple bugs were identified in the review, and further revisions are required.",deepseek/deepseek-v4-flash:free,2026-05-15T00:45:41.164910
58459,4,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:45:52.716900
58460,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:46:07.153158
58458,3,3,4,No superfluous parts.,deepseek/deepseek-v4-flash:free,2026-05-15T00:46:18.719846
58443,2,Single-file additive change with no architectural impact.,4,Multiple approvals and successful deployment. Minor improvement possible (reduundant header read).,deepseek/deepseek-v4-flash:free,2026-05-15T00:46:33.323575
58457,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:46:46.216308
58434,5,"High complexity due to multi-file architectural change: new model, API endpoints, Celery task, push dispatcher with guards, and front-end schema updates.",3,"Quality is moderate due to many review cycles and bot comments that identified bugs like cross-user token deletion, blocking HTTP calls, and stale locks; author addressed them but required rework.",deepseek/deepseek-v4-flash:free,2026-05-15T00:46:52.330791
58441,4,Multi-file feature requiring architectural changes,3,Multiple revisions with ongoing feedback,deepseek/deepseek-v4-flash:free,2026-05-15T00:46:53.521446
58431,4,"This PR creates a new CLI package with documentation, multiple scripts, and generated command definitions, touching 6 files with 819 additions and involving architectural changes.",3,"The PR has several revisions with code review feedback pointing out P1 issues like removed TTY guards and incorrect help display, requiring further fixes.",deepseek/deepseek-v4-flash:free,2026-05-15T00:46:59.618162
58432,4,"Multi-file feature adding status field, new endpoints, partial updates, migration, and frontend regeneration.",3,"Several review issues: missing select_related causing N+1 queries, a cross-team security vulnerability, and a silent reviewer stamp issue.",deepseek/deepseek-v4-flash:free,2026-05-15T00:47:09.500116
58428,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:47:26.336325
58424,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:47:44.252634
58430,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:48:01.721564
58421,5,"Several review-driven rework cycles (per_permission_classes fix, test parameters, read-only fields, routing lookup keys) but all issues addressed in subsequent commits; not first-pass but not broken.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:48:18.236878
58420,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:48:26.264388
58418,4,"The PR introduces a new feature behind a flag, requires a migration, backend and frontend changes, and architectural decisions around the cap.",3,"The PR underwent multiple review cycles and had the TOCTOU warnings mentioned, indicating the team addressed the readiness.",deepseek/deepseek-v4-flash:free,2026-05-15T00:48:41.426233
58422,3,"The PR has several issues identified by Greptile including P1 issues: set() not catching errors, static import crashes on Linux, pnpm field, tsx moved only in lockfile.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:48:57.691047
58409,4,"One human approval with no rework cycles, despite a bot's minor issues (timeout and lockfile).",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:49:50.970630
58400,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:49:58.051093
58396,3,"Clean design with backward-compatible default, got rapid approvals, deployed cleanly, with one minor test coverage gap.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:50:03.336137
58395,3,"The PR was approved by reviewers with minor inline suggestions for code clarity, but the code is clean overall.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:50:38.720876
58390,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:51:49.609961
58383,2,Simple single-file fix that adds a small constant set to three postgres connection calls.,4,Clean implementation with minor code duplication noted by reviewers; accepted with small improvements.,deepseek/deepseek-v4-flash:free,2026-05-15T00:51:57.878036
58382,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:52:09.282669
58381,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:52:38.813585
58379,5,5,4,4,deepseek/deepseek-v4-flash:free,2026-05-15T00:53:31.272510
58376,3,3,4,4,deepseek/deepseek-v4-flash:free,2026-05-15T00:53:47.997216
58417,3,"The PR is a non-trivial documentation addition across two files with 630 additions, involving reconciliation of multiple taxonomy groups.",2,The PR required multiple revision cycles based on numerous bot review comments about labeling inconsistencies and missing type annotations.,deepseek/deepseek-v4-flash:free,2026-05-15T00:53:50.427053
58370,2,"Single file change, one line replaced, fixing a link in an email template",4,"Clean, approved by reviewer, deployed successfully, no rework cycles",deepseek/deepseek-v4-flash:free,2026-05-15T00:53:55.802161
58368,2,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T00:54:14.940785
58363,3,"Multi-file feature (6 files, 278+140 lines) introducing pagation methods in a Temporal workflow.",3,"PR with multiple inline reviews pointing out design flaws (rollout path fet all, cutoff time drift) and follow-up discussion, indicating 2-3 revisions.",deepseek/deepseek-v4-flash:free,2026-05-15T00:54:37.349585
58361,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T00:54:50.051087
